Index	Date	Hour	Original	Predicted	Error	Relative Error
102	5/5/2014	5	792	894	-102	-0.129500424
103	5/5/2014	6	1101	982	119	0.107453363
104	5/5/2014	7	973	1100	-127	-0.13111619
105	5/5/2014	8	964	927	37	0.038360022
106	5/5/2014	9	1062	979	83	0.078078335
107	5/5/2014	10	880	1038	-158	-0.179996679
108	5/5/2014	11	1009	908	101	0.09975705
109	5/5/2014	12	794	874	-80	-0.101455335
110	5/5/2014	13	868	785	83	0.094710172
111	5/5/2014	14	837	896	-59	-0.070861842
112	5/5/2014	15	966	826	140	0.144915926
113	5/5/2014	16	1017	946	71	0.068937784
114	5/5/2014	17	1041	942	99	0.094997894
115	5/5/2014	18	766	794	-28	-0.037575361
116	5/5/2014	19	405	445	-40	-0.099481423
117	5/5/2014	20	196	227	-31	-0.160352082
118	5/5/2014	21	97	96	1	0.005900162
119	5/5/2014	22	60	58	2	0.029857651
120	5/5/2014	23	56	42	14	0.243211911
121	5/6/2014	0	66	69	-3	-0.054919812
122	5/6/2014	1	161	158	3	0.015366082
123	5/6/2014	2	320	291	29	0.08852604
124	5/6/2014	3	451	467	-16	-0.036116682
125	5/6/2014	4	712	689	23	0.032045722
126	5/6/2014	5	940	960	-20	-0.022012679
127	5/6/2014	6	1048	1147	-99	-0.095015583
128	5/6/2014	7	1115	1032	83	0.074393216
129	5/6/2014	8	1022	1057	-35	-0.034711069
130	5/6/2014	9	1051	1060	-9	-0.008656856
131	5/6/2014	10	1065	986	79	0.073375362
132	5/6/2014	11	1006	1071	-65	-0.064741959
133	5/6/2014	12	1041	852	189	0.181138523
134	5/6/2014	13	956	968	-12	-0.012641866
135	5/6/2014	14	929	944	-15	-0.016531203
136	5/6/2014	15	996	924	72	0.071496874
137	5/6/2014	16	996	966	30	0.029196765
138	5/6/2014	17	1033	977	56	0.054029752
139	5/6/2014	18	774	769	5	0.005957719
140	5/6/2014	19	484	459	25	0.049642684
141	5/6/2014	20	243	248	-5	-0.023054774
142	5/6/2014	21	108	115	-7	-0.072462975
143	5/6/2014	22	69	64	5	0.071589902
144	5/6/2014	23	46	49	-3	-0.086946949
145	5/7/2014	0	71	59	12	0.165716414
146	5/7/2014	1	170	174	-4	-0.02396706
147	5/7/2014	2	263	315	-52	-0.199041231
148	5/7/2014	3	421	409	12	0.02701961
149	5/7/2014	4	643	659	-16	-0.02565971
150	5/7/2014	5	889	898	-9	-0.010875869
151	5/7/2014	6	1082	1103	-21	-0.019650504
152	5/7/2014	7	1045	1084	-39	-0.037771495
153	5/7/2014	8	829	994	-165	-0.200037248
154	5/7/2014	9	1032	905	127	0.122558706
155	5/7/2014	10	1190	961	229	0.191877429
156	5/7/2014	11	1087	1187	-100	-0.092458533
157	5/7/2014	12	1042	940	102	0.097367955
158	5/7/2014	13	917	956	-39	-0.043228957
159	5/7/2014	14	973	915	58	0.058843617
160	5/7/2014	15	928	989	-61	-0.066120834
161	5/7/2014	16	917	938	-21	-0.023588507
162	5/7/2014	17	968	935	33	0.033989627
163	5/7/2014	18	814	733	81	0.098876042
164	5/7/2014	19	397	484	-87	-0.221634224
165	5/7/2014	20	225	210	15	0.065332896
166	5/7/2014	21	116	104	12	0.100212162
167	5/7/2014	22	47	65	-18	-0.4021659
168	5/7/2014	23	52	38	14	0.255726681
169	5/8/2014	0	58	67	-9	-0.162507025
170	5/8/2014	1	176	144	32	0.176275061
171	5/8/2014	2	262	327	-65	-0.248391328
172	5/8/2014	3	443	393	50	0.112375047
173	5/8/2014	4	680	681	-1	-0.002429485
174	5/8/2014	5	984	922	62	0.062090171
175	5/8/2014	6	1152	1197	-45	-0.039490946
176	5/8/2014	7	1141	1098	43	0.036918272
177	5/8/2014	8	950	1017	-67	-0.070896606
178	5/8/2014	9	1057	1027	30	0.027465364
179	5/8/2014	10	1126	1033	93	0.082288128
180	5/8/2014	11	925	1133	-208	-0.225108203
181	5/8/2014	12	909	892	17	0.018510334
182	5/8/2014	13	965	888	77	0.078974829
183	5/8/2014	14	899	979	-80	-0.089789315
184	5/8/2014	15	836	962	-126	-0.151567499
185	5/8/2014	16	869	869	0	-7.50E-05
186	5/8/2014	17	843	929	-86	-0.102952857
187	5/8/2014	18	678	684	-6	-0.009631237
188	5/8/2014	19	338	395	-57	-0.169425566
189	5/8/2014	20	174	186	-12	-0.070393996
190	5/8/2014	21	90	91	-1	-0.012199195
191	5/8/2014	22	66	49	17	0.248464892
192	5/8/2014	23	46	56	-10	-0.228748078
193	5/9/2014	0	61	58	3	0.038414643
194	5/9/2014	1	100	155	-55	-0.559953684
195	5/9/2014	2	231	187	44	0.187179169
196	5/9/2014	3	330	391	-61	-0.186611462
197	5/9/2014	4	527	557	-30	-0.057858498
198	5/9/2014	5	615	761	-146	-0.237611531
199	5/9/2014	6	855	804	51	0.058753794
200	5/9/2014	7	872	893	-21	-0.025094387
201	5/9/2014	8	788	802	-14	-0.018123905
202	5/9/2014	9	849	912	-63	-0.0752033
203	5/9/2014	10	697	879	-182	-0.261443794
204	5/9/2014	11	908	720	188	0.206245441
205	5/9/2014	12	744	873	-129	-0.17464683
206	5/9/2014	13	770	769	1	0.000214387
207	5/9/2014	14	776	784	-8	-0.010844716
208	5/9/2014	15	696	803	-107	-0.154233716
209	5/9/2014	16	737	746	-9	-0.013361023
210	5/9/2014	17	777	798	-21	-0.027991763
211	5/9/2014	18	533	637	-104	-0.196774146
212	5/9/2014	19	352	306	46	0.127880342
213	5/9/2014	20	180	184	-4	-0.022493614
214	5/9/2014	21	100	92	8	0.078630194
215	5/9/2014	22	60	57	3	0.049283861
216	5/9/2014	23	43	49	-6	-0.148857997
217	5/10/2014	0	57	54	3	0.036100483
218	5/10/2014	1	116	133	-17	-0.148319815
219	5/10/2014	2	218	222	-4	-0.021155547
220	5/10/2014	3	343	350	-7	-0.021880045
