"Date"	"Hour"	"Original"	"Predicted"	"Relative Error"
"70"	"2014-05-03"	21	78	86	-0.109690786440978
"71"	"2014-05-03"	22	51	50	0.0193182343341811
"72"	"2014-05-03"	23	30	33	-0.100059716922662
"73"	"2014-05-04"	0	48	41	0.126616862561997
"74"	"2014-05-04"	1	106	111	-0.0523121465666315
"75"	"2014-05-04"	2	251	207	0.172490960845296
"76"	"2014-05-04"	3	372	361	0.0269636286380434
"77"	"2014-05-04"	4	564	557	0.0119347159307853
"78"	"2014-05-04"	5	800	770	0.0366050471140488
"79"	"2014-05-04"	6	985	928	0.0571528733549094
"80"	"2014-05-04"	7	997	951	0.0457240956842947
"81"	"2014-05-04"	8	918	884	0.0360547755068613
"82"	"2014-05-04"	9	849	907	-0.0689926372484466
"83"	"2014-05-04"	10	769	843	-0.0973580738761151
"84"	"2014-05-04"	11	851	766	0.0992017124044808
"85"	"2014-05-04"	12	850	726	0.145432805019263
"86"	"2014-05-04"	13	840	781	0.0696108385412396
"87"	"2014-05-04"	14	916	817	0.106990029782109
"88"	"2014-05-04"	15	917	838	0.0856862830636047
"89"	"2014-05-04"	16	862	856	0.00587655123329277
"90"	"2014-05-04"	17	921	791	0.140139052145873
"91"	"2014-05-04"	18	660	701	-0.0621936722235732
"92"	"2014-05-04"	19	408	388	0.0489378742802594
"93"	"2014-05-04"	20	216	222	-0.0307239177007551
"94"	"2014-05-04"	21	114	100	0.122553661765299
"95"	"2014-05-04"	22	49	66	-0.360994229980986
"96"	"2014-05-04"	23	45	33	0.256817743820893
"97"	"2014-05-05"	0	53	58	-0.112388398631934
"98"	"2014-05-05"	1	137	124	0.0932746468594005
"99"	"2014-05-05"	2	254	263	-0.0360465778235497
"100"	"2014-05-05"	3	408	373	0.0841724568125332
"101"	"2014-05-05"	4	638	619	0.0293453346830152
"102"	"2014-05-05"	5	792	866	-0.0940804520734781
"103"	"2014-05-05"	6	1101	965	0.123144539353435
"104"	"2014-05-05"	7	973	1047	-0.0768408678569638
"105"	"2014-05-05"	8	964	898	0.0677864135799923
"106"	"2014-05-05"	9	1062	959	0.0963569674626681
"107"	"2014-05-05"	10	880	996	-0.131913090461122
"108"	"2014-05-05"	11	1009	888	0.119172978351811
"109"	"2014-05-05"	12	794	841	-0.0597531007414153
"110"	"2014-05-05"	13	868	766	0.116487468498648
"111"	"2014-05-05"	14	837	870	-0.0402574940360721
"112"	"2014-05-05"	15	966	829	0.14109699983698
"113"	"2014-05-05"	16	1017	924	0.0905893112219585
"114"	"2014-05-05"	17	1041	943	0.093251807055734
"115"	"2014-05-05"	18	766	769	-0.00519926158441811
"116"	"2014-05-05"	19	405	434	-0.0722149539200216
"117"	"2014-05-05"	20	196	220	-0.122945131063056
"118"	"2014-05-05"	21	97	96	0.00564878639778162
"119"	"2014-05-05"	22	60	58	0.0313852506993439
"120"	"2014-05-05"	23	56	43	0.223828493244866
"121"	"2014-05-06"	0	66	69	-0.0575296268396248
"122"	"2014-05-06"	1	161	148	0.0782880559459689
"123"	"2014-05-06"	2	320	296	0.0724741952167149
"124"	"2014-05-06"	3	451	460	-0.0201548373533222
"125"	"2014-05-06"	4	712	688	0.0325217064025423
"126"	"2014-05-06"	5	940	952	-0.0133955236425076
"127"	"2014-05-06"	6	1048	1142	-0.090464990536363
"128"	"2014-05-06"	7	1115	1033	0.0735205645678766
"129"	"2014-05-06"	8	1022	1026	-0.00465667882455997
"130"	"2014-05-06"	9	1051	1048	0.00283592950114883
"131"	"2014-05-06"	10	1065	998	0.0624373556412275
"132"	"2014-05-06"	11	1006	1058	-0.0521351433869004
"133"	"2014-05-06"	12	1041	868	0.165761589446198
"134"	"2014-05-06"	13	956	970	-0.015100888891426
"135"	"2014-05-06"	14	929	948	-0.0210481970223267
"136"	"2014-05-06"	15	996	933	0.0628881264703039
"137"	"2014-05-06"	16	996	975	0.0207727108130885
"138"	"2014-05-06"	17	1033	975	0.0556775320735836
"139"	"2014-05-06"	18	774	784	-0.0134064654223639
"140"	"2014-05-06"	19	484	449	0.0719266204215719
"141"	"2014-05-06"	20	243	253	-0.0439229953654484
"142"	"2014-05-06"	21	108	114	-0.0644784754077593
"143"	"2014-05-06"	22	69	63	0.0733826483821571
"144"	"2014-05-06"	23	46	50	-0.0873604332095252
"145"	"2014-05-07"	0	71	61	0.129959898141329
"146"	"2014-05-07"	1	170	163	0.0354707479657244
"147"	"2014-05-07"	2	263	320	-0.218335805490244
"148"	"2014-05-07"	3	421	402	0.0447005916784962
"149"	"2014-05-07"	4	643	657	-0.0228326992929544
"150"	"2014-05-07"	5	889	908	-0.022198985705317
"151"	"2014-05-07"	6	1082	1105	-0.0219515105276417
"152"	"2014-05-07"	7	1045	1071	-0.0249967896314056
"153"	"2014-05-07"	8	829	973	-0.173797248302588
"154"	"2014-05-07"	9	1032	900	0.127553474239125
"155"	"2014-05-07"	10	1190	1016	0.146017355328742
"156"	"2014-05-07"	11	1087	1170	-0.0765327973294261
"157"	"2014-05-07"	12	1042	943	0.0945333980768365
"158"	"2014-05-07"	13	917	952	-0.0387576070783896
"159"	"2014-05-07"	14	973	923	0.0512189219251368
"160"	"2014-05-07"	15	928	987	-0.0645041409741237
"161"	"2014-05-07"	16	917	937	-0.0221099119302733
"162"	"2014-05-07"	17	968	927	0.0422420825540763
"163"	"2014-05-07"	18	814	756	0.0708319159523683
"164"	"2014-05-07"	19	397	472	-0.188947378618557
"165"	"2014-05-07"	20	225	217	0.0345655186871791
"166"	"2014-05-07"	21	116	107	0.069390574902463
"167"	"2014-05-07"	22	47	67	-0.43566270232482
"168"	"2014-05-07"	23	52	37	0.274249467045329
"169"	"2014-05-08"	0	58	67	-0.164418378264581
"170"	"2014-05-08"	1	176	144	0.178478324486714
"171"	"2014-05-08"	2	262	318	-0.214836145028988
"172"	"2014-05-08"	3	443	399	0.0972980443670049
"173"	"2014-05-08"	4	680	683	-0.00540831309021261
"174"	"2014-05-08"	5	984	936	0.0487429802363761
"175"	"2014-05-08"	6	1152	1189	-0.0324487031632932
"176"	"2014-05-08"	7	1141	1118	0.0198502366801065
"177"	"2014-05-08"	8	950	1021	-0.0750498356785022
"178"	"2014-05-08"	9	1057	1016	0.0379199923363575
"179"	"2014-05-08"	10	1126	1055	0.0626892409905307
"180"	"2014-05-08"	11	925	1102	-0.191899433525796
"181"	"2014-05-08"	12	909	851	0.062734943886823
"182"	"2014-05-08"	13	965	874	0.0935223232669943
"183"	"2014-05-08"	14	899	975	-0.0851519130192504
"184"	"2014-05-08"	15	836	920	-0.100720924624077
"185"	"2014-05-08"	16	869	850	0.0213585185412332
"186"	"2014-05-08"	17	843	888	-0.0543026291612318
"187"	"2014-05-08"	18	678	688	-0.0160254382531804
"188"	"2014-05-08"	19	338	398	-0.179237985366053
"189"	"2014-05-08"	20	174	191	-0.100952521895597
"190"	"2014-05-08"	21	90	89	0.00675071296990855
"191"	"2014-05-08"	22	66	54	0.180192519727221
"192"	"2014-05-08"	23	46	50	-0.0932145454193068
"193"	"2014-05-09"	0	61	59	0.0199441180665105
"194"	"2014-05-09"	1	100	143	-0.430797335919766
"195"	"2014-05-09"	2	231	200	0.130922517912043
"196"	"2014-05-09"	3	330	371	-0.12616819163476
"197"	"2014-05-09"	4	527	553	-0.0509818903694228
"198"	"2014-05-09"	5	615	759	-0.234460064009399
"199"	"2014-05-09"	6	855	800	0.0641094613586737
"200"	"2014-05-09"	7	872	884	-0.0140062974433096
"201"	"2014-05-09"	8	788	816	-0.0362973172804773
"202"	"2014-05-09"	9	849	862	-0.0157210808695472
"203"	"2014-05-09"	10	697	852	-0.223656575826109
"204"	"2014-05-09"	11	908	732	0.19368762930489
"205"	"2014-05-09"	12	744	822	-0.105428523947711
"206"	"2014-05-09"	13	770	746	0.0304419373203254
"207"	"2014-05-09"	14	776	777	-0.00160658023229103
"208"	"2014-05-09"	15	696	776	-0.116102876590692
"209"	"2014-05-09"	16	737	728	0.0120303218157681
"210"	"2014-05-09"	17	777	754	0.0286245531588653
"211"	"2014-05-09"	18	533	621	-0.166344122292998
"212"	"2014-05-09"	19	352	318	0.0963126065189627
