"Date"	"Hour"	"Original"	"Predicted"	"Relative Error"
"70"	"2014-05-03"	21	78	89	-0.145396664609261
"71"	"2014-05-03"	22	51	52	-0.0220673313027306
"72"	"2014-05-03"	23	30	34	-0.154890319517536
"73"	"2014-05-04"	0	48	43	0.0908405944453482
"74"	"2014-05-04"	1	106	114	-0.0781580165080561
"75"	"2014-05-04"	2	251	213	0.147852956853707
"76"	"2014-05-04"	3	372	371	0.00211625334767209
"77"	"2014-05-04"	4	564	571	-0.0138931715302857
"78"	"2014-05-04"	5	800	785	0.0178479211525355
"79"	"2014-05-04"	6	985	947	0.0380622957558562
"80"	"2014-05-04"	7	997	956	0.0404126730495522
"81"	"2014-05-04"	8	918	892	0.0281269000163687
"82"	"2014-05-04"	9	849	918	-0.0815890716715921
"83"	"2014-05-04"	10	769	857	-0.114542888845865
"84"	"2014-05-04"	11	851	778	0.085281241258459
"85"	"2014-05-04"	12	850	734	0.135329268827794
"86"	"2014-05-04"	13	840	787	0.0628290110660449
"87"	"2014-05-04"	14	916	830	0.093433502724201
"88"	"2014-05-04"	15	917	858	0.0641905903273128
"89"	"2014-05-04"	16	862	868	-0.00717515441625622
"90"	"2014-05-04"	17	921	796	0.135540661415148
"91"	"2014-05-04"	18	660	704	-0.0672828666713573
"92"	"2014-05-04"	19	408	388	0.0466645804999554
"93"	"2014-05-04"	20	216	225	-0.0418264695954806
"94"	"2014-05-04"	21	114	100	0.11446535899962
"95"	"2014-05-04"	22	49	67	-0.372976671338607
"96"	"2014-05-04"	23	45	34	0.242791073910857
"97"	"2014-05-05"	0	53	60	-0.134781019074601
"98"	"2014-05-05"	1	137	126	0.0800920577991405
"99"	"2014-05-05"	2	254	267	-0.051191313362167
"100"	"2014-05-05"	3	408	385	0.0557909169449898
"101"	"2014-05-05"	4	638	626	0.0172538488252736
"102"	"2014-05-05"	5	792	883	-0.115302150054708
"103"	"2014-05-05"	6	1101	978	0.111129692768274
"104"	"2014-05-05"	7	973	1066	-0.0965082486665121
"105"	"2014-05-05"	8	964	908	0.05743021625247
"106"	"2014-05-05"	9	1062	974	0.0823337498449992
"107"	"2014-05-05"	10	880	1015	-0.154175147129306
"108"	"2014-05-05"	11	1009	898	0.10958316870545
"109"	"2014-05-05"	12	794	857	-0.0795554709891891
"110"	"2014-05-05"	13	868	773	0.108413252083746
"111"	"2014-05-05"	14	837	877	-0.0486503870596176
"112"	"2014-05-05"	15	966	841	0.129125351256995
"113"	"2014-05-05"	16	1017	933	0.0824330099713121
"114"	"2014-05-05"	17	1041	952	0.0849521874442481
"115"	"2014-05-05"	18	766	775	-0.0130242500471312
"116"	"2014-05-05"	19	405	440	-0.0870016431216201
"117"	"2014-05-05"	20	196	222	-0.134825514993724
