"Date"	"Hour"	"Original"	"Predicted"	"Relative Error"
"70"	"2014-05-03"	21	78	86	-0.113593812548526
"71"	"2014-05-03"	22	51	49	0.0201584980697517
"72"	"2014-05-03"	23	30	33	-0.102761937013605
"73"	"2014-05-04"	0	48	42	0.12452847178338
"74"	"2014-05-04"	1	106	111	-0.0510233327867525
"75"	"2014-05-04"	2	251	207	0.17237737046528
"76"	"2014-05-04"	3	372	362	0.0259461369454681
"77"	"2014-05-04"	4	564	556	0.0132129700231373
"78"	"2014-05-04"	5	800	772	0.0342635964039155
"79"	"2014-05-04"	6	985	926	0.0589010048535411
"80"	"2014-05-04"	7	997	953	0.0440740609316826
"81"	"2014-05-04"	8	918	883	0.0380129464274416
"82"	"2014-05-04"	9	849	906	-0.067596797541894
"83"	"2014-05-04"	10	769	843	-0.0965313898299823
"84"	"2014-05-04"	11	851	766	0.09969329556209
"85"	"2014-05-04"	12	850	726	0.145220629556712
"86"	"2014-05-04"	13	840	781	0.069632063129214
"87"	"2014-05-04"	14	916	816	0.108230643167902
"88"	"2014-05-04"	15	917	837	0.0863228188550232
"89"	"2014-05-04"	16	862	858	0.00439767613582013
"90"	"2014-05-04"	17	921	792	0.139175769056188
"91"	"2014-05-04"	18	660	700	-0.0612761081090253
"92"	"2014-05-04"	19	408	387	0.0491671031478699
"93"	"2014-05-04"	20	216	222	-0.0285176106121441
"94"	"2014-05-04"	21	114	99	0.123554633191783
"95"	"2014-05-04"	22	49	66	-0.362619997082151
"96"	"2014-05-04"	23	45	33	0.258814126108228
"97"	"2014-05-05"	0	53	58	-0.112321582990158
"98"	"2014-05-05"	1	137	124	0.0939353794601736
"99"	"2014-05-05"	2	254	263	-0.0371978312590513
"100"	"2014-05-05"	3	408	371	0.0887380850537629
"101"	"2014-05-05"	4	638	622	0.0235503318763386
"102"	"2014-05-05"	5	792	863	-0.0902536177601275
"103"	"2014-05-05"	6	1101	967	0.121571530907942
"104"	"2014-05-05"	7	973	1046	-0.0751829467360777
"105"	"2014-05-05"	8	964	899	0.0668463758668607
"106"	"2014-05-05"	9	1062	959	0.0960485118218939
"107"	"2014-05-05"	10	880	995	-0.1310338320691
"108"	"2014-05-05"	11	1009	890	0.117676458110594
"109"	"2014-05-05"	12	794	839	-0.0570882425837197
"110"	"2014-05-05"	13	868	767	0.115583358090816
"111"	"2014-05-05"	14	837	870	-0.0405803531404767
"112"	"2014-05-05"	15	966	827	0.143776874593847
"113"	"2014-05-05"	16	1017	927	0.0881410954126006
"114"	"2014-05-05"	17	1041	941	0.0954420612564818
"115"	"2014-05-05"	18	766	771	-0.0078328556782048
"116"	"2014-05-05"	19	405	433	-0.0709347223350261
"117"	"2014-05-05"	20	196	220	-0.124036181870817
"118"	"2014-05-05"	21	97	96	0.00669992941458357
"119"	"2014-05-05"	22	60	58	0.0297538874722801
"120"	"2014-05-05"	23	56	43	0.225830404025246
"121"	"2014-05-06"	0	66	69	-0.057504413819224
"122"	"2014-05-06"	1	161	148	0.078965598531053
"123"	"2014-05-06"	2	320	297	0.0708567851097371
"124"	"2014-05-06"	3	451	460	-0.0205743893511581
"125"	"2014-05-06"	4	712	690	0.0296032735253554
"126"	"2014-05-06"	5	940	950	-0.0110823287780577
"127"	"2014-05-06"	6	1048	1143	-0.0906554145164172
"128"	"2014-05-06"	7	1115	1033	0.0734623664213981
"129"	"2014-05-06"	8	1022	1025	-0.00370167153111074
"130"	"2014-05-06"	9	1051	1048	0.002481649249122
